,PlanningRegion,StateFIPS,PlanningRegionFIPS,PlanningRegionFIPS_GEOID,OBJECTID,OBJECTID_1,SHAPE__Area,SHAPE__Length
0,Capital,9,110,9110,,1,4885544609.97266,375497.963300085
1,South Central Connecticut,9,170,9170,,2,1723096562.67578,423488.653731689
2,Greater Bridgeport,9,120,9120,,3,654312030.792969,197724.757488023
3,Northeastern Connecticut,9,150,9150,,4,2628359425.54297,243904.896281599
4,Naugatuck Valley,9,140,9140,,5,1949371846.48047,256200.25128124
5,Lower Connecticut River Valley,9,130,9130,,6,2044108709.05078,323575.378965639
6,Southeastern Connecticut,9,180,9180,,7,2855344764.04297,493834.478349135
7,Northwest Hills,9,160,9160,,8,3773820365.37109,303316.571883451
8,Western Connecticut,9,190,9190,,9,2529195814.57031,542022.895977986
