,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
72,JN1AZ0CP1C,Skagit,Anacortes,WA,98221.0,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,40.0,226599985,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940201.0
73,WBY8P6C54K,Snohomish,Everett,WA,98208.0,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,44.0,327041921,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041605.0
74,5YJ3E1EB4J,Snohomish,Bothell,WA,98021.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1.0,342615738,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926.0
75,1FADP5CU2F,Snohomish,Lynnwood,WA,98036.0,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,32.0,114902350,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051500.0
76,1N4AZ0CP4F,King,Vashon,WA,98070.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34.0,3734580,POINT (-122.46049 47.44873),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027702.0
77,1C4RJYB62N,Kitsap,Bremerton,WA,98312.0,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,35.0,228722287,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035091400.0
78,1G1FX6S05H,Skagit,Mount Vernon,WA,98273.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10.0,115207123,POINT (-122.338975 48.41333),PUGET SOUND ENERGY INC,53057952100.0
79,5YJ3E1EA4J,Snohomish,Lynnwood,WA,98036.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,32.0,195537905,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051701.0
80,JTDKARFP3K,Walla Walla,Walla Walla,WA,99362.0,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,16.0,218044851,POINT (-118.34332 46.063985),PACIFICORP,53071920200.0
81,5YJSA1V26F,Snohomish,Monroe,WA,98272.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,39.0,282629063,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052203.0
82,1C4JJXN61P,Walla Walla,Walla Walla,WA,99362.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,16.0,231011280,POINT (-118.34332 46.063985),PACIFICORP,53071920902.0
83,5YJ3E1EB8J,King,Issaquah,WA,98027.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5.0,111499111,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032002.0
84,5UXTA6C0XN,Snohomish,Edmonds,WA,98020.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,32.0,202055745,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050700.0
