,the_geom,OBJECTID_1,Street,StreetCode,RouteType,BoroName,Restrictio,BoroCode,TruckRoute,LtdLocal,NYC_Reg,SegmentID,Shape_Leng,LocalTunl,LocalBrg,ThruTunl,ThruBrg,assem_dist,cong_dist,coun_dist,st_sen_dis,ThruExwy,BoroCD
31,"MULTILINESTRING ((-73.88124422527483 40.882709633046275, -73.87995798761864 40.88439062848014))",32,JEROME AVENUE,242820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",81296,708.236694553,,,,,81,16,11,34,,226
32,"MULTILINESTRING ((-73.8810451037245 40.8284318124626, -73.88011211224811 40.82851166580289))",33,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",79228,259.836034145,,,,,85,15,17,32,,209
33,"MULTILINESTRING ((-73.88639957266392 40.82750337914929, -73.8860962425228 40.8276557770297))",34,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",78879,100.647768199,,,,,85,15,17,32,,202
34,"MULTILINESTRING ((-73.88614445369257 40.82844711732122, -73.88640993392953 40.83005882504623))",35,BOONE AVENUE,213620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",116420,591.782637512,,,,,85,15,17,32,,203
35,"MULTILINESTRING ((-73.88864501143641 40.81179892087311, -73.88772757437843 40.81193548226126))",36,RANDALL AVENUE,260520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",77690,258.788697499,,,,,84,15,17,32,,202
36,"MULTILINESTRING ((-73.88391355741024 40.819420504934435, -73.88461718227559 40.82141307535772))",37,EDGEWATER ROAD,230060,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",77837,751.633659289,,,,,85,15,17,34,,202
37,"MULTILINESTRING ((-73.88365759226348 40.82827878554704, -73.88295104530332 40.82830386618285))",38,WESTCHESTER AVENUE BRIDGE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",9014501,195.748320154,,,,,85,15,17,32,,209
38,"MULTILINESTRING ((-73.88808032208497 40.876272745750605, -73.88773577710963 40.87703388188473))",39,JEROME AVENUE,242820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",80350,293.224801752,,,,,78,13,11,34,,207
39,"MULTILINESTRING ((-73.87993002355732 40.82364106166512, -73.87898855704682 40.8237110906779))",40,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",77956,261.812495955,,,,,85,15,17,32,,209
40,"MULTILINESTRING ((-73.88565994491489 40.842710409630236, -73.88529784407041 40.842535381377736))",41,EAST TREMONT AVENUE,229620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",78996,118.761661237,,,,,87,15,17,32,,206
41,"MULTILINESTRING ((-73.88338073347454 40.817351435849126, -73.88391355741024 40.819420504934435))",42,EDGEWATER ROAD,230060,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",77840,768.127336332,,,,,84,15,17,32,,202
42,"MULTILINESTRING ((-73.8853449067679 40.838792661251304, -73.88464898057244 40.839174632352865))",43,BOSTON ROAD,213820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",78945,237.588784976,,,,,79,15,17,32,,203
43,"MULTILINESTRING ((-73.84999194363543 40.842851627969615, -73.84939158441412 40.84291857090451))",44,EAST TREMONT AVENUE,229620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86649,167.892325899,,,,,82,14,13,32,,210
44,"MULTILINESTRING ((-73.85143248005816 40.874987271427244, -73.85068955681955 40.87548667740093))",45,BOSTON ROAD,213820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",111740,274.444112246,,,,,83,16,12,36,,212
45,"MULTILINESTRING ((-73.85185868817244 40.83477774673566, -73.85207006031087 40.83562530212746))",46,CASTLE HILL AVENUE,218520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",178108,314.286531973,,,,,87,14,18,34,,209
46,"MULTILINESTRING ((-73.85286997861188 40.83985130398954, -73.85303510321337 40.84073545696845))",47,CASTLE HILL AVENUE,218520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86465,325.354054982,,,,,87,14,18,32,,209
47,"MULTILINESTRING ((-73.84870085576145 40.83510318363715, -73.8480626873109 40.83563614929986))",48,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",108028,262.469959168,,,,,82,14,18,34,,210
48,"MULTILINESTRING ((-73.84869086356716 40.82185523067366, -73.84884074200733 40.82250304687179))",49,CASTLE HILL AVENUE,218520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",85607,239.640577363,,,,,87,15,18,34,,209
49,"MULTILINESTRING ((-73.84936395738451 40.83014618349981, -73.84885681598647 40.82999224652186))",50,EAST 177 STREET,226970,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",184791,151.13762219,,,,,87,15,18,34,,209
50,"MULTILINESTRING ((-73.85028234848079 40.85865726615992, -73.84930893478193 40.85871750246655))",51,PELHAM PARKWAY NORTH,257720,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",88198,270.159376096,,,,,80,14,13,34,,211
51,"MULTILINESTRING ((-73.85053713681489 40.8297768496285, -73.85058792223134 40.83005725787539))",52,CASTLE HILL AVENUE,218520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86545,103.125214879,,,,,87,15,18,34,,209
52,"MULTILINESTRING ((-73.85036895135148 40.82905233545903, -73.85053713681489 40.8297768496285))",53,CASTLE HILL AVENUE,218520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86543,268.039153304,,,,,87,15,18,32,,209
53,"MULTILINESTRING ((-73.84792614086398 40.87134223291206, -73.84725144863671 40.870987052250456))",54,EAST GUN HILL ROAD,229320,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",88378,227.079587541,,,,,83,16,12,36,,212
54,"MULTILINESTRING ((-73.85363638739808 40.87330059904774, -73.85357628532216 40.8732760204923))",55,EAST GUN HILL ROAD,229320,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",88128,18.8805809448,,,,,83,16,12,36,,212
55,"MULTILINESTRING ((-73.85155069622814 40.90204443651961, -73.85033915122156 40.9034822425317))",56,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",89382,621.763913239,,,,,81,16,11,36,,212
56,"MULTILINESTRING ((-73.85020132956782 40.828331828892395, -73.85036895135148 40.82905233545903))",57,CASTLE HILL AVENUE,218520,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86554,266.574205719,,,,,87,15,18,32,,209
57,"MULTILINESTRING ((-73.85789556273888 40.84736387881137, -73.85708581122476 40.84772915317681))",58,MORRIS PARK AVENUE,252220,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86354,260.578848778,,,,,82,14,13,34,,211
58,"MULTILINESTRING ((-73.85524863054 40.897251457259756, -73.85429882761555 40.898449654555925))",59,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",89249,509.437635321,,,,,81,16,11,36,,212
59,"MULTILINESTRING ((-73.86055100798791 40.865529695076724, -73.85961281224228 40.86551271779281))",60,ALLERTON AVENUE,208320,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",87822,259.571515331,,,,,80,14,13,34,,211
60,"MULTILINESTRING ((-73.93172424854096 40.830003374681496, -73.93179715018013 40.8301896735056, -73.93185519146951 40.83037951234836, -73.93189795840988 40.830571858119654, -73.93192522789515 40.83076564631973, -73.9319369297653 40.83095979542371))",61,SEDGWICK AVENUE,263820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",71201,354.703302515,,,,,84,15,8,29,,204
61,"MULTILINESTRING ((-73.93108221464891 40.816328101078916, -73.93101566001795 40.81651988606272))",62,EXTERIOR STREET,200044,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",184534,72.261829022,,,,,84,15,8,29,,201
62,"MULTILINESTRING ((-73.93115852321455 40.81363548962969, -73.9310447891679 40.81358844181086))",63,EAST 138 STREET,225800,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",173411,35.8464835473,,,,,84,15,8,29,,201
63,"MULTILINESTRING ((-73.93097205522405 40.83469095173078, -73.93090776315593 40.834938558171885, -73.93079828336968 40.83536023091363, -73.93078680681226 40.83540440227333, -73.93066870813443 40.83581373201675, -73.93058179521519 40.83611497606931, -73.93057336015045 40.83614152656328, -73.93048676199332 40.83641417102611, -73.93035714600373 40.83682219672913, -73.9302464405959 40.837141128920855, -73.93019009386556 40.83730346379291))",64,SEDGWICK AVENUE,263820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",9008369,976.367582831,,,,,77,15,16,29,,204
64,"MULTILINESTRING ((-73.9308654755862 40.81086409392365, -73.9304804461646 40.81052912211163))",65,EAST 135 STREET,225710,Through,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(1)",69588,162.032211695,,,,,84,15,8,29,,201
65,"MULTILINESTRING ((-73.85773226226267 40.83355730633999, -73.85465135705759 40.8338880266588))",66,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86296,861.035069252,,,,,87,15,18,32,,209
66,"MULTILINESTRING ((-73.8570172246901 40.856902268351604, -73.85609688027995 40.85694105188125))",67,PELHAM PARKWAY SOUTH,257720,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",185130,254.985007498,,,,,80,14,13,34,,211
67,"MULTILINESTRING ((-73.86163945899249 40.88569258708472, -73.86124783730682 40.88639648689412))",68,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",88971,278.383121368,,,,,83,16,12,36,,212
68,"MULTILINESTRING ((-73.85970333284732 40.82627734828907, -73.85867194038075 40.82642407646616))",69,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",86258,290.406106721,,,,,87,15,18,34,,209
