,Month,Division,Car Class,Total Miles,Number of Failures,Number of Cars,MDBF,12-Month Average MDBF
89,01/01/2021,A,R142A,908703,9,220,100967.0,124210
90,01/01/2021,A,R142,4456357,13,1025,342797.0,265746
91,01/01/2021,B,R143,961027,2,212,480514.0,172337
92,01/01/2021,A,R188-NEW,420780,1,126,420780.0,289785
93,01/01/2021,A,R62A,3294421,15,824,219628.0,154807
94,01/01/2021,B,R32,0,0,63,0.0,58638
95,01/01/2022,A,R188-CONVERSION,1332108,9,380,148012.0,208817
96,01/01/2022,A,R142,4818596,21,1025,229457.0,253194
97,01/01/2022,A,R142A,931807,9,220,103534.0,136766
98,01/01/2022,B,R143,686747,7,212,98107.0,187837
99,01/01/2022,B,R68A,662003,5,200,132401.0,97458
