,county,incident,direction,lanes,created,lat,long,updated,location
29,Howard,Planned Closure @ US 1 SOUTH FROM PATUXENT RANGE RD TO HOWARD ST,South,"1/2 Southbound-right Traffic Lane, right Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.150864,-76.802986,2024/07/22T05:40:01,POINT (-76.802986 39.150864)
30,Baltimore City,Planned Closure @ I-895 AT MP 9.4 (BALTIMORE HARBOR TUNNEL) - 2 Left Toll Lanes,,,Created: 07/22/2024 05:27 AM by AOC Central.,39.2528,-76.572365,2024/07/22T05:40:01,POINT (-76.572365 39.2528)
31,Washington,Planned Closure @ US 40 WEST AT I-70,West,"1/2 Westbound-right Traffic Lane, right Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.60004,-77.682526,2024/07/22T05:40:01,POINT (-77.682526 39.60004)
32,Howard,Planned Closure @ US 29 NORTH FROM EXIT 18A BROKEN LAND PKWY (NB) TO EXIT 18A BROKEN LAND PKWY (NB),North,"Northbound-right Right Off Ramp, 1 of 3 Shoulders closed",Created: 07/22/2024 05:30 AM by SOC.,39.19923,-76.86097,2024/07/22T05:40:01,POINT (-76.86097 39.19923)
33,Baltimore City,Planned Closure @ I-695 INNER LOOP/OUTER LOOP AT MP 49.3 (FRANCIS SCOTT KEY BRIDGE),Inner/Outer Loops,"2/2 Inner Loop, 2/2 Outer Loop closed",Created: 07/22/2024 05:26 AM by SOC.,39.218384,-76.52657,2024/07/22T05:40:01,POINT (-76.52657 39.218384)
34,Montgomery,Planned Closure @ I-270 SOUTH FROM MIDDLEBROOK RD TO W WATKINS MILL RD,South,Southbound-right Shoulder closed,Created: 07/22/2024 05:27 AM by SOC.,39.1753,-77.24699,2024/07/22T05:40:01,POINT (-77.24699 39.1753)
35,Baltimore,Planned Closure @ I-695 INNER LOOP PRIOR TO EXIT 42 MD 151 NORTH POINT BLVD (IL) MM 42.5 TO 43.6,Inner Loop,"1/2 Inner Loop-left Traffic Lane, left Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.259434,-76.45996,2024/07/22T05:40:01,POINT (-76.45996 39.259434)
36,Garrett,Planned Closure @ I-68 EAST BETWEEN MP 29.9 AND MP 30.89,East,Eastbound-right Shoulder closed,Created: 07/22/2024 05:27 AM by SOC.,39.679432,-78.9667,2024/07/22T05:40:01,POINT (-78.9667 39.679432)
37,Allegany,Planned Closure @ MD 36 SOUTH AT BARRELVILLE RD,South,"1/1 Southbound-Traffic Lane, Shoulder closed",Created: 07/22/2024 05:37 AM by SOC.,39.700687,-78.84249,2024/07/22T05:40:01,POINT (-78.84249 39.700687)
38,Washington,Planned Closure @ I-70 EAST/WEST FROM CTY MP 35.6 TO CTY MP 37.6,East/West,"Westbound-both Shoulders, Eastbound-both Shoulders closed",Created: 07/22/2024 05:27 AM by SOC.,39.57199,-77.62308,2024/07/22T05:40:01,POINT (-77.62308 39.57199)
39,Washington,Planned Closure @ US 522 NORTH/SOUTH AT I-70,North/South,"Southbound-Shoulder, Northbound-Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.71271,-78.18823,2024/07/22T05:40:01,POINT (-78.18823 39.71271)
40,Baltimore,Planned Closure @ I-95 NORTH PAST EXIT 67 MD 43 WHITE MARSH BLVD (NB) (MM 67.2 TO 72.8),North,"1/4 Northbound-left Traffic Lane, left Shoulder closed",Created: 07/22/2024 05:38 AM by AOC Central.,39.38125,-76.44599,2024/07/22T05:40:01,POINT (-76.44599 39.38125)
41,Montgomery,Planned Closure @ MD 586 WEST BETWEEN FIRST ST AND ASPEN HILL RD,West,"2/3 Westbound-2 right Traffic Lanes, right Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.079815,-77.13787,2024/07/22T05:40:01,POINT (-77.13787 39.079815)
42,Harford,Planned Closure @ I-95 NORTH PAST EXIT 74 MD 152 MOUNTAIN RD (NB)MM 73.8-76.1,North,"1/4 Northbound-left Traffic Lane, left Shoulder closed",Created: 07/22/2024 05:38 AM by AOC Central.,39.44195,-76.35482,2024/07/22T05:40:01,POINT (-76.35482 39.44195)
43,Talbot,Planned Closure @ US 50 EAST BETWEEN BUNKER HILL LA AND RADIANCE DR,East,Eastbound-Shoulder closed,Created: 07/22/2024 05:27 AM by SOC.,38.60085,-76.04293,2024/07/22T05:40:01,POINT (-76.04293 38.60085)
44,Baltimore,Planned Closure @ I-695 INNER LOOP AT EXIT 42 MD 151 NORTH POINT BLVD (IL),Inner Loop,"2/2 Inner Loop-both Traffic Lanes, 1 of 3 Shoulders closed",Created: 07/22/2024 05:27 AM by AOC Central.,39.245434,-76.456314,2024/07/22T05:40:01,POINT (-76.456314 39.245434)
45,Washington,Planned Closure @ I-70 EAST/WEST BETWEEN CTY MP 31 AND CTY MP 33,East/West,"Westbound-right Shoulder, Eastbound-right Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.59918,-77.69508,2024/07/22T05:40:01,POINT (-77.69508 39.59918)
46,Montgomery,Planned Closure @ MD 190 EAST BETWEEN BRAEBURN PKWY AND DEVONSHIRE DR,East,Eastbound-left Shoulder closed,Created: 07/22/2024 05:27 AM by SOC.,38.98036,-77.13351,2024/07/22T05:40:01,POINT (-77.13351 38.98036)
