,the_geom,street,postvz_sl,postvz_sg,Shape_Leng
38,"MULTILINESTRING ((-73.85753011352165 40.80655783057648, -73.85752027811547 40.806557350161576, -73.85751029851896 40.80655723967283, -73.85750020078885 40.80655750634643, -73.85749003112491 40.80655815924446, -73.85747981435071 40.806559228114125, -73.85746960739567 40.80656069231426, -73.85745944694013 40.80656257890518, -73.85744936856996 40.806564872622474, -73.85743943036111 40.80656757083644, -73.8574296583859 40.80657067357939, -73.8574201000813 40.80657416560147, -73.85741080050644 40.80657803525204, -73.85740179525311 40.8065822645652, -73.85739311161156 40.806586838266234, -73.85738479351568 40.80659171678766, -73.85737685280878 40.806596903746154, -73.85736933936775 40.806602351477046, -73.85736225323122 40.80660804197047, -73.85735562765379 40.806613941949216, -73.85734946388418 40.806620021698386, -73.85734377264448 40.80662625511683, -73.85733855756736 40.8066326061892))",P STREET,25,NO,62.8837953623
39,"MULTILINESTRING ((-73.89750226464155 40.71638386809873, -73.89423532496852 40.71792437952307))",ELIOT AVENUE,25,NO,1065.44227475
40,"MULTILINESTRING ((-73.93508253062448 40.82791604726179, -73.93494083393306 40.827989600911124))",ADAM CLAYTON POWELL JR BOULEVARD,25,YES,47.496472597
41,"MULTILINESTRING ((-73.88072000176716 40.76397474278216, -73.88009424970379 40.76386859905909))",ASTORIA BOULEVARD,25,YES,177.604009551
42,"MULTILINESTRING ((-73.80135868391754 40.718201592417884, -73.80099165291678 40.7167873612973))",165 STREET,25,NO,525.197066106
43,"MULTILINESTRING ((-73.93640153000118 40.75267193330979, -73.93561445616201 40.752281847161335))",40 AVENUE,25,NO,260.29278985
44,"MULTILINESTRING ((-74.14646446223828 40.606853483582356, -74.14655454382881 40.60616400942908))",STEWART AVENUE,25,NO,252.435535783
45,"MULTILINESTRING ((-74.13228800469557 40.62033010175487, -74.13227365888423 40.62009221850302))",WARDWELL AVENUE,25,NO,86.7585963576
46,"MULTILINESTRING ((-73.94084264792102 40.605285030304415, -73.93991672832038 40.6053860028017))",AVENUE S,25,NO,259.722736883
47,"MULTILINESTRING ((-73.93520056574557 40.775293564672396, -73.93516923938697 40.775283438906946))",27 AVENUE,25,NO,9.42812831354
48,"MULTILINESTRING ((-73.98549602215013 40.74715232945072, -73.98389684745828 40.74647826803936))",EAST 32 STREET,25,NO,506.612556307
49,"MULTILINESTRING ((-73.9403890599936 40.70470281718416, -73.94031474771889 40.70471054288757))",SEIGEL STREET,25,NO,20.7952843491
