,Complex ID,Is Complex,Number Of Stations In Complex,Stop Name,Display Name,Constituent Station Names,Station IDs,GTFS Stop IDs,Borough,Daytime Routes,Structure Type,Latitude,Longitude,ADA,ADA Notes
85,103,False,1,Bowery,Bowery (J Z),Bowery,103,M19,M,J Z,Subway,40.72028,-73.993915,0,
86,107,False,1,Broad St,Broad St (J Z),Broad St,107,M23,M,J Z,Subway,40.706476,-74.011056,0,
87,108,False,1,Middle Village-Metropolitan Av,Middle Village-Metropolitan Av (M),Middle Village-Metropolitan Av,108,M01,Q,M,Elevated,40.711396,-73.889601,1,
88,109,False,1,Fresh Pond Rd,Fresh Pond Rd (M),Fresh Pond Rd,109,M04,Q,M,Elevated,40.706186,-73.895877,0,
89,110,False,1,Forest Av,Forest Av (M),Forest Av,110,M05,Q,M,Elevated,40.704423,-73.903077,0,
90,111,False,1,Seneca Av,Seneca Av (M),Seneca Av,111,M06,Q,M,Elevated,40.702762,-73.90774,0,
91,113,False,1,Knickerbocker Av,Knickerbocker Av (M),Knickerbocker Av,113,M09,Bk,M,Elevated,40.698664,-73.919711,0,
92,114,False,1,Central Av,Central Av (M),Central Av,114,M10,Bk,M,Elevated,40.697857,-73.927397,0,
93,118,False,1,3 Av,3 Av (L),3 Av,118,L05,M,L,Subway,40.732849,-73.986122,0,
94,119,False,1,1 Av,1 Av (L),1 Av,119,L06,M,L,Subway,40.730953,-73.981628,1,
95,120,False,1,Bedford Av,Bedford Av (L),Bedford Av,120,L08,Bk,L,Subway,40.717304,-73.956872,1,
96,122,False,1,Graham Av,Graham Av (L),Graham Av,122,L11,Bk,L,Subway,40.714565,-73.944053,0,
97,123,False,1,Grand St,Grand St (L),Grand St,123,L12,Bk,L,Subway,40.711926,-73.94067,1,
98,124,False,1,Montrose Av,Montrose Av (L),Montrose Av,124,L13,Bk,L,Subway,40.707739,-73.93985,0,
99,125,False,1,Morgan Av,Morgan Av (L),Morgan Av,125,L14,Bk,L,Subway,40.706152,-73.933147,0,
