,the_geom,Project Area,Status,# On-Street Spaces
0,"MULTIPOLYGON (((-118.23559765179829 34.06282389139953, -118.23736660496337 34.05249471704026, -118.23736964737148 34.0449717043252, -118.23737308387582 34.03647257926736, -118.2390976487604 34.024679503102504, -118.2392441674782 34.024609700310016, -118.23939629755738 34.02454133779831, -118.23955327313152 34.02447475932312, -118.23971445626877 34.0244102350024, -118.23987911390861 34.024348053487145, -118.24004687910185 34.02428834860993, -118.24021728850332 34.024231285085, -118.2403899557841 34.02417699206952, -118.24056383374858 34.02412577831718, -118.24073929468702 34.02407751387946, -118.24091605867936 34.02403227566771, -118.24109388862931 34.0239901242613, -118.24127252366175 34.02395112034947, -118.24145181255861 34.02391529579941, -118.24163157726547 34.023882686144425, -118.24181166433178 34.02385331916993, -118.24198996014412 34.023827485734856, -118.24216830852403 34.02380486512017, -118.24234659471908 34.02378547185745, -118.24252471810787 34.023769316865675, -118.2427025707762 34.0237564095699, -118.24288008136672 34.02374675478348, -118.24305717012575 34.02374035683099, -118.24323376617568 34.02373721825783, -118.24340972862699 34.0237373395184, -118.2435850713012 34.023740718564994, -118.243759736896 34.02374735428513, -118.24393367390483 34.02375724471242, -118.24410682797841 34.02377038660106, -118.24427915996925 34.023786776822526, -118.24445062744378 34.02380641133561, -118.2446211918976 34.023829285724425, -118.24472273225399 34.02384835538316, -118.24482482963208 34.02386942099975, -118.24503089359558 34.02391758192085, -118.24523981356933 34.023973868373744, -118.24545214878404 34.02403843058702, -118.24566825393191 34.02411136144168, -118.24588927469034 34.0241930331471, -118.24611623627922 34.024283822533896, -118.24635068962583 34.02438434867793, -118.24654315977203 34.02447150691628, -118.24674315011795 34.02456602450279, -118.24695263017638 34.02466882780142, -118.24717539688437 34.02478177791333, -118.24759833642207 34.02500393573211, -118.24837121760171 34.02542084260237, -118.24867551617471 34.025583008878336, -118.24898785731087 34.02574509630036, -118.24926953246644 34.02588571525661, -118.24997987231424 34.026305200463085, -118.25063426753844 34.02668855741449, -118.25124962642244 34.02704569039846, -118.25182872748161 34.0273782003752, -118.25237610513733 34.02768866509643, -118.25288961086473 34.02797583738781, -118.25336961446611 34.028239924738344, -118.25381617917968 34.02848096234683, -118.2542310664592 34.02869986848304, -118.25461217319369 34.02889549813225, -118.25495943458539 34.02906781861913, -118.25527277613229 34.02921679347162, -118.25555213104228 34.02934239131423, -118.25567904241178 34.02939641438846, -118.25579743344777 34.02944458282712, -118.25590729747063 34.029486893958364, -118.25600862867203 34.02952334558749, -118.25610142161494 34.02955393579205, -118.25618567145278 34.0295786630041, -118.25807584012718 34.02662420111993, -118.25906894724982 34.025078543344854, -118.2599346025037 34.023743161133616, -118.2613266832874 34.02161029627791, -118.26597899080922 34.02366729183824, -118.26733359698603 34.024269060080634, -118.2684739612264 34.02477866418396, -118.26955870681414 34.02526698616112, -118.27073843780471 34.025801832799566, -118.27215755464772 34.02644846255741, -118.27449029756556 34.02751405631028, -118.27445679178008 34.02761505907253, -118.27442670891018 34.02772388859635, -118.27439988347533 34.027841141663046, -118.27437614707057 34.02796755274017, -118.27435537096052 34.02810374298287, -118.27433734922027 34.02825098996089, -118.27432192401717 34.02841057284369, -118.27430892198103 34.02858427677077, -118.27429894757248 34.02875862593228, -118.274290733712 34.02894947106744, -118.2742789360482 34.029397184727905, -118.27427322379083 34.029829855544406, -118.27426125968502 34.03124062603461, -118.27425404899016 34.031713078340815, -118.27424445870612 34.032160291356355, -118.27423219721244 34.03259563880809, -118.2742171320504 34.03302343859262, -118.2741991392215 34.03344718566775, -118.27417814076436 34.033868675270476, -118.2741481289725 34.03438540110767, -118.27411337970655 34.034902484788134, -118.2740738088613 34.03542117106342, -118.2740293572939 34.03594222650736, -118.27397994299012 34.03646656669053, -118.27392554704478 34.03699435016813, -118.27386613146481 34.03752594370401, -118.27380166751828 34.038061602334174, -118.27377783257651 34.03872639779043, -118.2737553121081 34.03921348662, -118.2737292767273 34.03962678972672, -118.27371446687789 34.039812227403104, -118.27369820998591 34.03998682079657, -118.27367967404346 34.040158088720815, -118.27365923863334 34.04032122086477, -118.27363673788571 34.04047753845492, -118.27361201904097 34.04062809926364, -118.27358489887159 34.04077399135121, -118.27355524726264 34.04091588878111, -118.27352290605914 34.041054547620945, -118.27348771833516 34.04119063977463, -118.2734479798838 34.04132995810151, -118.27340480438616 34.04146785445644, -118.2733579923092 34.041604965853864, -118.27330733621245 34.04174189955539, -118.27325260929288 34.04187926707634, -118.27319358094465 34.04201764572684, -118.27312999842248 34.04215762798817, -118.27306158828856 34.042299815782144, -118.2729881532292 34.04244463448964, -118.27290928200952 34.04259290924153, -118.27282461903853 34.042745308644626, -118.27273376232361 34.04290255635643, -118.27263631600779 34.04306534180769, -118.27253172459147 34.043234596909244, -118.27241941371825 34.04341125138211, -118.27229869241147 34.04359639220664, -118.27220614597883 34.043728982130375, -118.27210782344982 34.043861254910894, -118.27200369458025 34.04399325122213, -118.27189372323099 34.04412501685649, -118.2717778761146 34.04425659232695, -118.27165609869552 34.044388040162914, -118.27152833725043 34.044519418355904, -118.27139452689762 34.04465079361776, -118.27125473599358 34.04478210761241, -118.27110874799997 34.04491357212651, -118.27095646465966 34.04504527567056, -118.27079776455602 34.04517732326439, -118.27063254648522 34.04530980073162, -118.27046060649191 34.04544287314069, -118.27028175045339 34.045576690822095, -118.27009572814302 34.0457114410453, -118.2699210184841 34.045834327689455, -118.26973992892955 34.04595834454689, -118.2695521401843 34.04608371043508, -118.26935722200763 34.046210712670714, -118.26915491225205 34.04633952759278, -118.26894427579485 34.04647075582957, -118.26872445841227 34.046604930193894, -118.26849413064947 34.046742862519054, -118.26810035200057 34.04697342134145, -118.26766080435058 34.04722471859993, -118.26722075369929 34.04747197719685, -118.26612577674477 34.04808208591806, -118.26581914557758 34.04825515540916, -118.26554913823983 34.0484097398596, -118.26536575519064 34.04854469056719, -118.2651778552005 34.048680078643606, -118.2649850257144 34.0488162015183, -118.26478672365216 34.04895344267439, -118.2645826059594 34.04909204527994, -118.2643715382809 34.04923278506129, -118.26415249076969 34.04937634938795, -118.26392388476084 34.04952377329794, -118.26353530974404 34.04976960564631, -118.26310041445664 34.050039251410816, -118.26268480259886 34.050293330588474, -118.26169332464835 34.05089548991658, -118.26119557479156 34.051201241493246, -118.26072728811873 34.051494495305064, -118.26049365296107 34.051648779686715, -118.25947968702495 34.052318355053394, -118.25888778997752 34.05284447621634, -118.25839333624728 34.0533666527441, -118.25709344973255 34.05490653275859, -118.2574474885976 34.05561108199121, -118.25659057671739 34.05652190272961, -118.25525612061999 34.05793939734616, -118.25420245907395 34.059152911145055, -118.25340703375103 34.060392915987045, -118.25284577152809 34.061267851900546, -118.25228335347394 34.06214440887377, -118.2520512261517 34.06250641711318, -118.25158161574922 34.0629534580647, -118.24921086414096 34.065204075513364, -118.24889611520977 34.065270007974846, -118.2473117223689 34.06389315707952, -118.24722285167606 34.06395715060174, -118.24691108672884 34.064167496937515, -118.24681093276695 34.064228691680704, -118.24650539305925 34.06438311097529, -118.24622109444547 34.06450661035703, -118.24584876880338 34.06466078962597, -118.24562457970178 34.06474110334129, -118.24538958498664 34.06480626432933, -118.24518571483597 34.06485361547752, -118.24484642542002 34.06492250557522, -118.2444428568951 34.06500642179085, -118.2440783548278 34.065089376749626, -118.24364187479945 34.06519683331777, -118.24327255837505 34.065310216623615, -118.24299157564631 34.06542232072614, -118.24273965113534 34.06555332449797, -118.24238264607338 34.06571187145706, -118.24207837086283 34.06587714651616, -118.23810095219372 34.06788086380997, -118.23780135593361 34.06803814455225, -118.23759608676977 34.06816353559743, -118.23730452740101 34.068362253679666, -118.23622187852465 34.0692204238046, -118.23544919843363 34.06953032407292, -118.23484889712141 34.06955651327332, -118.23428526863181 34.0693174276548, -118.23367175699904 34.06869330624903, -118.2335709935029 34.068140122345845, -118.23395256452847 34.06698803309295, -118.23559765179829 34.06282389139953)))",Downtown Los Angeles,Operational,6100
1,"MULTIPOLYGON (((-118.44094431469075 34.06350803842112, -118.44096989144892 34.06343938522384, -118.44100241009303 34.063336594387195, -118.44102841025311 34.063233035953346, -118.44104534065565 34.06314517359879, -118.44130172804267 34.06159045459987, -118.44139285754304 34.0610378345241, -118.44139454967207 34.06102876580457, -118.44141077226043 34.06095083411138, -118.44141192659798 34.0609455924176, -118.44141529650447 34.06093287111812, -118.4414380590445 34.060856077874895, -118.44143926321611 34.06085214674134, -118.44144409371555 34.060838414375375, -118.44147328596223 34.06076314468487, -118.4414743285796 34.06076050839684, -118.44148079204562 34.06074589623188, -118.44151626404975 34.06067251885339, -118.44151694339837 34.06067111769481, -118.44152521208797 34.060655735015, -118.44156679406446 34.06058461328374, -118.44156691513527 34.06058440674947, -118.44157651255225 34.06056930498843, -118.44157712853603 34.06056840967257, -118.44162460772374 34.0604998960883, -118.44163475095192 34.06048624595964, -118.44163629915795 34.06048431952435, -118.44168944952028 34.06041875289536, -118.44169978301954 34.0604067507982, -118.44170241265381 34.06040391360396, -118.44176096514977 34.060341616407925, -118.4417712871924 34.06033119987795, -118.44177515732174 34.060327564004844, -118.44183882633361 34.06026884504053, -118.44184892204427 34.06025996265348, -118.44185416872595 34.06025565950056, -118.44192263882424 34.060200808440385, -118.44193230967659 34.0601933784859, -118.44193905583455 34.0601885532394, -118.44201198509359 34.06013784336554, -118.44202104901173 34.06013177308195, -118.44202939120102 34.06012657926777, -118.4421064210608 34.060080259192866, -118.44211470910253 34.060075442031575, -118.44212473403235 34.06007004420267, -118.44215195758504 34.06005598526694, -118.44220549918803 34.06002833508571, -118.44221284238246 34.06002465900296, -118.44222462682883 34.06001921625267, -118.44230869924945 34.05998233948309, -118.44231497468748 34.05997966204011, -118.44232856252815 34.059974355565075, -118.44241554036611 34.05994248847131, -118.44242060867411 34.059940675533824, -118.44243602399295 34.059935689350674, -118.44252547557343 34.05990898738864, -118.44252923690894 34.05990788819063, -118.4425359195286 34.059906041854155, -118.44324391236192 34.05971780643442, -118.44336411984432 34.05968584966905, -118.4433984973205 34.059676710387286, -118.4445426492867 34.05937250361997, -118.44454274159828 34.05937247854925, -118.44561931319951 34.059086530945486, -118.44563214945043 34.05908337022385, -118.44565211621021 34.05907941652803, -118.44567235294541 34.059076560988004, -118.44569277054492 34.059074809428274, -118.44571327994161 34.05907417591686, -118.44573379528198 34.05907465802277, -118.44575423074188 34.059076258810634, -118.44577449710776 34.05907896487028, -118.44579450521009 34.0590827710353, -118.44581417240879 34.05908765837557, -118.44583341273325 34.05909360247769, -118.44585214354358 34.059100584411645, -118.44587028872934 34.0591085714841, -118.4458877655479 34.059117525530354, -118.4459045011903 34.05912741384486, -118.4459204260906 34.05913819271849, -118.44593546736623 34.059149815706604, -118.44594956531144 34.059162230820256, -118.4459626569337 34.05917538883018, -118.44596966835302 34.05918322190033, -118.44657928912424 34.05989165838859, -118.44676682049408 34.05977962310262, -118.44707486174734 34.06013679137999, -118.44688701073522 34.06024901518389, -118.44804869399721 34.06159713683157, -118.44823647121822 34.06148503789614, -118.4486004213542 34.06191027989102, -118.44834761662923 34.0620612011736, -118.44863859443991 34.062783675588356, -118.44863942426228 34.06278572517913, -118.44864463503414 34.06280000309066, -118.44864938620996 34.062816621162966, -118.44865137332017 34.06282637153616, -118.4493566785414 34.06348000588386, -118.44935796276327 34.06348120468138, -118.44936898743636 34.06349228437133, -118.44937912042252 34.06350393893899, -118.44938831194497 34.06351612185584, -118.44939652869148 34.063528778288024, -118.44940373074587 34.06354185342663, -118.4494098914139 34.06355529516126, -118.44941498394192 34.063569040390156, -118.44941898493697 34.06358303699051, -118.44942187753594 34.06359721907603, -118.44942364822128 34.06361152899113, -118.44942429004962 34.063625903560514, -118.44942380269548 34.06364028233168, -118.4494221858336 34.06365460485229, -118.44941944572719 34.063668807897585, -118.44941559527268 34.06368283371377, -118.44941065062355 34.063696616291246, -118.44940463461086 34.06371010333511, -118.4493975733084 34.06372323154662, -118.44938949284877 34.06373594861857, -118.44938043255715 34.063748199446565, -118.44937042515485 34.063759928950816, -118.44935951991661 34.06377109023378, -118.44934776280031 34.063781633662074, -118.44933519977911 34.06379151235041, -118.44932188677537 34.063800687619924, -118.44930788301342 34.06380912077963, -118.44929324440099 34.06381677040298, -118.44927803682505 34.06382360876581, -118.44926232614309 34.06382960264814, -118.44924617496986 34.06383472983385, -118.44922965912707 34.063838968057624, -118.44921284124447 34.063842297851, -118.44919580048992 34.063844705180166, -118.44917860614079 34.063846178795735, -118.44916413718714 34.06384668875559, -118.44916133413709 34.06384671841516, -118.44839559447682 34.063856334518974, -118.44838065944337 34.06386413901371, -118.44836259931968 34.06387226012364, -118.44834394281062 34.0638793804652, -118.4483247656792 34.06388546678202, -118.44830515036571 34.063890499532846, -118.44828518258302 34.06389445366816, -118.44826494477144 34.06389730964661, -118.44824452604885 34.063899061641536, -118.44822737986144 34.063899669357724, -118.4470552116759 34.06391447777549, -118.44534797600066 34.063936033057885, -118.44534790996637 34.06393603330138, -118.44260362077763 34.063970146071405, -118.44254368820727 34.063973525759074, -118.4424943229494 34.063980331789324, -118.44246893528054 34.063984651052806, -118.44244985529834 34.06398983751972, -118.44146404419973 34.064321202027244, -118.44144870612541 34.064325973466474, -118.44142909029499 34.06433100510057, -118.44140912208219 34.06433495809916, -118.441408267673 34.064335101364094, -118.44133590321158 34.06434718173474, -118.44131651946279 34.06434989328447, -118.44129610048415 34.064351644104825, -118.44128082281838 34.06435222202394, -118.4412070344934 34.064353516561226, -118.4412018014351 34.064353571400275, -118.44118128482623 34.064353088524385, -118.44116084816477 34.0643514869624, -118.4411525257959 34.06435051163367, -118.44108163107877 34.06434139476701, -118.4410696859564 34.0643396632541, -118.44104967681184 34.06433585630544, -118.44103196616584 34.0643315078699, -118.44097992117341 34.06431733194495, -118.44097796366572 34.06431679226231, -118.44095872248494 34.06431084738525, -118.44093999091655 34.06430386469065, -118.44092184507461 34.06429587687561, -118.44090436770571 34.06428692210871, -118.44088763162213 34.06427703309905, -118.44087170639213 34.06426625355927, -118.44085666490021 34.064254629937814, -118.44084256685254 34.06424221422681, -118.4408294752428 34.06422905565886, -118.44081744651857 34.06421521448162, -118.44080653381141 34.06420074820735, -118.44079677706024 34.06418571714396, -118.44078822285088 34.06417018981899, -118.44078091113634 34.06415422928827, -118.4407748653902 34.06413790416371, -118.44077011570364 34.06412128578061, -118.44076668555003 34.064104442750924, -118.44076458192289 34.06408744924182, -118.44076382172096 34.064070379385065, -118.4407644020182 34.06405330463625, -118.44076632649184 34.06403629642716, -118.44076957902341 34.064019429009434, -118.44077185003685 34.06401053954601, -118.44083445070827 34.0637847643867, -118.44083675405905 34.06377700143831, -118.440842627501 34.063760632811686, -118.44084266987291 34.06376052823729, -118.44094431469075 34.06350803842112)))",Westwood,Operational,450
2,"MULTIPOLYGON (((-118.3444240858201 34.09790141122606, -118.34637703555312 34.10434875531543, -118.32206841322918 34.1045053933495, -118.32197514716425 34.095945768681695, -118.32633237243458 34.09592079210089, -118.32631076137831 34.09073909724475, -118.32693829204565 34.09073759249444, -118.32695993280726 34.09591714453255, -118.33831956144343 34.095899217513214, -118.33828967610862 34.09071098946702, -118.33891720698107 34.090709430392025, -118.33894713848001 34.09589817183726, -118.34441023736167 34.095885614761805, -118.3444240858201 34.09790141122606)))",Hollywood,Operational,1500
3,"MULTIPOLYGON (((-118.45026946639626 33.9931628352172, -118.45026712125234 33.99316168985843, -118.45019633220565 33.99312684706694, -118.45019189299457 33.993124621358795, -118.45011827175209 33.99308700273858, -118.45011362035068 33.99308457997174, -118.45004080831033 33.99304589760509, -118.45003639131403 33.993043506935734, -118.45003626888473 33.99304343869533, -118.4499949949465 33.993020667058815, -118.44999487251728 33.993020598818454, -118.44999483281207 33.99302057698342, -118.44996422641697 33.993003684488045, -118.44995969642005 33.99300113760814, -118.44988854586722 33.99296036331516, -118.44988408152852 33.992957755734366, -118.44981379317211 33.99291595597251, -118.4498093514876 33.99291326586806, -118.44973994843622 33.99287044330075, -118.44973682370902 33.99286849021284, -118.44973559227728 33.992867706160986, -118.44966710107107 33.99282388816954, -118.44966279734525 33.992821084882785, -118.44959523452407 33.992776279651075, -118.44959096336441 33.99277339655187, -118.44952434873743 33.99272760675554, -118.44952018628429 33.99272469302229, -118.44945453319541 33.992677946092144, -118.44945258921508 33.99267655191444, -118.44945039338218 33.99267494708801, -118.4493857414928 33.99262725661744, -118.44938167396549 33.99262420238414, -118.4493180266043 33.992575573858325, -118.44931403469127 33.99257246987939, -118.44925141506916 33.99252292519656, -118.44924749878508 33.99251977421996, -118.44921601364861 33.99249398442909, -118.44921516202812 33.99249327864665, -118.44918591685783 33.99246932433625, -118.44918506856617 33.99246862403692, -118.44918203972325 33.99246609077548, -118.44912153849457 33.9924147575156, -118.44911773697424 33.992411474209625, -118.44905831647358 33.99235926307094, -118.44905460715039 33.992355946445315, -118.44899629064648 33.9923028903175, -118.4489927431655 33.992299608810335, -118.44899262378648 33.992299493843575, -118.4489354277736 33.992245592667054, -118.4489318464982 33.99224216015047, -118.4489093950732 33.99222024415659, -118.44890936190761 33.992220211305394, -118.44887576433372 33.99218740570795, -118.44887227856883 33.99218394260766, -118.44881737335844 33.99212841435459, -118.44881392010119 33.992124860451774, -118.44876019175545 33.992068541902896, -118.44875777635507 33.99206597337522, -118.44875683068031 33.992064951933344, -118.44870428586981 33.9920078568049, -118.44870098716898 33.99200420889641, -118.44864965240147 33.9919463590746, -118.44864644922566 33.991942683330684, -118.4485963278871 33.99188409529186, -118.44859319702617 33.99188036981588, -118.44854431234002 33.99182106820624, -118.44854287112011 33.991819298433754, -118.4485412404513 33.9918172655692, -118.44849362220879 33.991757269514615, -118.44849213084558 33.99175537627347, -118.44840653528449 33.991645471468175, -118.44134122900624 33.98352251125038, -118.44205590941301 33.98327828256873, -118.4549258188695 33.98616703978464, -118.46304511285248 33.98099702633276, -118.46197915330814 33.97975185017057, -118.46252091936198 33.97948908616983, -118.46456448001874 33.979825071595364, -118.46472742862895 33.97994531500032, -118.46687119566997 33.978707256176854, -118.48209623935857 33.99608426175375, -118.46964519799157 34.002837983635445, -118.4543216400768 33.99545061518527, -118.45026946639626 33.9931628352172)))",Venice,Operational,300
