,Person_ID,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
64,O1091027,05/02/2021 09:35:00 PM,100 N WESTERN AVE,DRIVER,-87.68663247,41.88303658,POINT (-87.68663247 41.88303658)
65,O1110410,06/05/2021 01:57:00 AM,2101 W 59TH ST,DRIVER,-87.67666544,41.78648524,POINT (-87.67666544 41.78648524)
66,O1162219,08/15/2021 01:45:00 AM,1402 E 95TH ST,DRIVER,-87.58981789,41.72238305,POINT (-87.58981789 41.72238305)
67,O1450027,10/22/2022 04:16:00 AM,3202 W 51st st,PEDESTRIAN,-87.70390822,41.8009286,POINT (-87.70390822 41.8009286)
68,O1191393,09/24/2021 10:47:00 PM,4917 N MILWAUKEE AVE,PEDESTRIAN,-87.76259589,41.97018002,POINT (-87.76259589 41.97018002)
69,O647819,05/16/2019 01:32:00 AM,433 E 95TH ST,PEDESTRIAN,-87.61287,41.721804,POINT (-87.61287 41.721804)
70,O624047,04/12/2019 08:03:00 PM,2900 S LAKE SHORE DR SB,PEDESTRIAN,-87.6103,41.842075,POINT (-87.6103 41.842075)
71,O1548092,03/29/2023 09:15:00 PM,3617 W COLUMBUS AVE,DRIVER,-87.71237009,41.74261839,POINT (-87.71237009 41.74261839)
72,O1010831,12/18/2020 11:01:00 AM,11059 S WESTERN AVE,PEDESTRIAN,-87.66403,41.768398,POINT (-87.66403 41.768398)
73,O1103256,05/26/2021 01:30:00 AM,2600 N WESTERN AVE,CYCLIST,-87.68792224,41.92866979,POINT (-87.68792224 41.92866979)
74,P154747,06/26/2019 05:38:00 PM,1302 E 47TH ST,PASSENGER,-87.5948861,41.80977358,POINT (-87.5948861 41.80977358)
75,P134408,03/03/2019 08:46:00 PM,10700 S CALUMET AVE,PASSENGER,-87.61493494,41.69996826,POINT (-87.61493494 41.69996826)
76,P324786,11/17/2022 12:47:00 AM,8141 S STONY ISLAND AVE,PASSENGER,-87.58527272,41.74662894,POINT (-87.58527272 41.74662894)
77,P209357,07/11/2020 06:41:00 AM,2558 W PETERSON AVE,PASSENGER,-87.7154,41.860652,POINT (-87.7154 41.860652)
78,P261791,08/22/2021 11:38:00 AM,4013 S ROCKWELL,PASSENGER,-87.68952446,41.82067182,POINT (-87.68952446 41.82067182)
79,P298565,05/22/2022 05:05:00 AM,8828S STONY ISLAND AVE,PASSENGER,-87.58573489,41.73421192,POINT (-87.58573489 41.73421192)
80,O790107,11/26/2019 08:38:00 AM,5 W TERMINAL ST,PEDESTRIAN,-87.88987,41.97517,POINT (-87.88987 41.97517)
81,O1483414,12/18/2022 02:38:00 AM,5044 W LAKE ST,DRIVER,-87.7521484,41.88712166,POINT (-87.7521484 41.88712166)
82,O1492109,01/02/2023 01:41:00 AM,7232 S DAMEN AVE,PEDESTRIAN,-87.67360614,41.76198585,POINT (-87.67360614 41.76198585)
83,O1677336,10/08/2023 06:35:00 AM,5730 W DIVERSEY AVE,PEDESTRIAN,-87.76995473,41.93133484,POINT (-87.76995473 41.93133484)
84,O828422,01/23/2020 11:40:00 PM,800 W 87TH ST,PEDESTRIAN,-87.64366,41.736183,POINT (-87.64366 41.736183)
85,O1236022,11/29/2021 01:06:00 AM,733 W 25TH ST,DRIVER,-87.64505542,41.84685372,POINT (-87.64505542 41.84685372)
86,P246681,05/20/2021 11:40:00 PM,4531 W DIVISION ST,PASSENGER,-87.73981922,41.90234112,POINT (-87.73981922 41.90234112)
87,O928066,07/29/2020 09:56:00 PM,4005 W DIVISION ST,PEDESTRIAN,-87.66082,41.999335,POINT (-87.66082 41.999335)
88,O1413212,09/04/2022 08:10:00 PM,730 S CICERO AVE,PEDESTRIAN,-87.74507283,41.87124253,POINT (-87.74507283 41.87124253)
89,O1259135,01/07/2022 04:20:00 PM,4819 N DUSABLE LAKE SHORE NB DR,DRIVER,-87.64795544,41.97023938,POINT (-87.64795544 41.97023938)
90,O888299,05/23/2020 08:56:00 PM,3851 W CHICAGO AVE,PEDESTRIAN,-87.72323,41.895283,POINT (-87.72323 41.895283)
91,O1440847,10/14/2022 01:28:00 AM,311 E 87TH ST,PEDESTRIAN,-87.617192,41.736388,POINT (-87.617192 41.736388)
92,P338622,02/18/2023 10:58:00 PM,10020 S HALSTED,PASSENGER,-87.64310095,41.71171667,POINT (-87.64310095 41.71171667)
93,O919651,07/16/2020 04:19:00 PM,3235 W LAKE ST,DRIVER,-87.74278,41.798565,POINT (-87.74278 41.798565)
94,O620862,03/27/2019 05:53:00 AM,3159 W ROOSEVELT RD,PASSENGER,-87.70552,41.866298,POINT (-87.70552 41.866298)
95,O1140174,07/15/2021 03:46:00 AM,8120 S HOUSTON,PEDESTRIAN,-87.55054085,41.74765213,POINT (-87.55054085 41.74765213)
96,O676647,06/22/2019 09:20:00 PM,3158 W FULLERTON AVE,DRIVER,-87.70696618,41.92482576,POINT (-87.70696618 41.92482576)
97,P189390,10/24/2019 09:03:00 PM,101 N WACKER DR,PASSENGER,-87.63665,41.883234,POINT (-87.63665 41.883234)
98,O1376675,07/11/2022 08:48:00 PM,4900 S DREXEL BLVD,DRIVER,-87.60444034,41.80582656,POINT (-87.60444034 41.80582656)
99,O1080109,04/21/2021 05:30:00 AM,7141 S CICERO AVE,DRIVER,-87.74171661,41.76285668,POINT (-87.74171661 41.76285668)
