,the_geom,OBJECTID,ID,RT_SYMBOL,NAME,URL,SHAPE_LEN
20,"LINESTRING (-73.84463013327571 40.72154844382737, -73.8415292685246 40.720171060629916, -73.8414363934497 40.72013068080801, -73.8413448379919 40.72009087455383, -73.84125529011219 40.72005151224508, -73.84116574231247 40.720011167408686, -73.8410771852688 40.7199708238699, -73.84098863185555 40.71992949961091, -73.84090009030064 40.719887716039125, -73.8408120643134 40.719846175349225, -73.84072450067461 40.719803868896186, -73.84063696666581 40.71976109685286, -73.84055040216154 40.71971879885374, -73.84046482366706 40.71967551699606, -73.8403778243574 40.71963151629756, -73.84029224608066 40.71958823701264, -73.84020483573347 40.71954249852617, -73.83744095985965 40.7181920936493)",773,2000305,B,F,http://web.mta.info/nyct/service/,2338.67180233
21,"LINESTRING (-73.99297173637369 40.665450480954114, -73.99293864834311 40.66548356928563, -73.99290651109479 40.665516652263015, -73.99287540623297 40.6655497010757, -73.99284240777834 40.66558470117995, -73.99281045955796 40.6656186441346, -73.99278025230332 40.6656507393309, -73.9927492535391 40.66568573863298, -73.9927182064749 40.665718727972106, -73.99268908929096 40.66575269628612, -73.99265726734579 40.665787598254994, -73.99262899114953 40.665819642204774, -73.99259991527232 40.66585356727371, -73.99257182222583 40.665886504532715, -73.99254192176825 40.66592258897052, -73.99251174475827 40.66595678950322, -73.98841224896833 40.67087199869058)",774,2000473,N,N-R,http://web.mta.info/nyct/service/,2345.71964265
22,"LINESTRING (-73.86169742350371 40.729697105704055, -73.85447364583354 40.72706791609972, -73.85437903432671 40.72703145189732, -73.85428189619263 40.72699477550103, -73.85418533760352 40.72695673818507, -73.85408336780701 40.726915750163016, -73.85398065368798 40.726875258187896, -73.85387594340364 40.72683179190413, -73.85376787634434 40.72678776564686, -73.85365890757042 40.72674260800151, -73.85354801591133 40.72669508306709, -73.85343290080085 40.726646033488805, -73.85331692289778 40.72659646940492, -73.8531985836992 40.726544758978925, -73.85307752414325 40.72649216696214, -73.85295584498638 40.726437756796614, -73.85282899533436 40.72638082476821)",775,2000303,B,F-M,http://web.mta.info/nyct/service/,2739.68740975
23,"LINESTRING (-73.89855866075368 40.74952491510065, -73.89144367122574 40.746499922847306)",776,2000298,B,F-M,http://web.mta.info/nyct/service/,2258.57526372
24,"LINESTRING (-73.89133800006059 40.746643666605465, -73.88514900123499 40.74400566672993, -73.885103999402 40.74398666706284, -73.88505900050625 40.74396666601667, -73.88501500157321 40.743947665514526, -73.88497100083754 40.74392766633086, -73.88492800006365 40.743908666792215, -73.88488500049984 40.74388966633814, -73.88484300143621 40.7438706668683, -73.88480100057446 40.74385066691739, -73.88475999966961 40.74383166661448, -73.88471899997215 40.74381266629811, -73.88467900077265 40.743793666968855, -73.88463900041349 40.74377466672398, -73.88459999936865 40.743755666565875, -73.88456100071252 40.743736667297426, -73.88452300137115 40.74371766721663, -73.88291699979152 40.742932666283465, -73.88284600059417 40.74289666742991, -73.88277500090197 40.74286166629437, -73.8827060010204 40.74282666715143, -73.8826390009526 40.74279166640278, -73.88257400071755 40.74275866678096, -73.88250999982453 40.74272566634072, -73.88244800109648 40.74269266700774, -73.8823880015834 40.74266066744531, -73.88233000127973 40.74262966765655, -73.8822730014898 40.742598667060136, -73.88221800089964 40.742568667142905, -73.88216500127511 40.74253866654496, -73.88211399965604 40.74250966753118, -73.88206400032193 40.74248166728357, -73.88201700121537 40.74245366648559)",777,2000299,A,E,http://web.mta.info/nyct/service/,3002.12810137
25,"LINESTRING (-73.88201700121537 40.74245366648559, -73.88194500077061 40.74241466735663, -73.88187400086811 40.74237566650703, -73.8818030010456 40.742336667414484, -73.8817320001238 40.74229566644793, -73.8816620003333 40.74225566602961, -73.88159200003375 40.742214666904765, -73.88152300086888 40.742172666501716, -73.8814530001527 40.74213066772765, -73.88138400057409 40.742087667676586, -73.88131600153594 40.74204466681391, -73.88124700036452 40.74200066711474, -73.88117900091834 40.74195666660634, -73.88111199964024 40.74191266708779, -73.8810440009737 40.741867666936045, -73.88097700108094 40.741821666411255, -73.87942200090404 40.74066466658665, -73.87935700022732 40.74061366578073, -73.87929499981719 40.740560667153375, -73.87923500043576 40.7405056669601, -73.87917500004467 40.74044866670556, -73.87911700013045 40.74038866622512, -73.8790600014521 40.740325667173934, -73.87900400101873 40.740260667313194, -73.87895000043834 40.740193666796564, -73.87889700110395 40.740123666813766, -73.87884500001972 40.74005166602643, -73.87879400018444 40.7399766675765, -73.87874400097631 40.73989966562556, -73.87869600043341 40.73982066662909, -73.87864899996481 40.73973866727176, -73.87860200207382 40.73965466696777, -73.87722300158889 40.73701466612775)",778,2000300,A,E,http://web.mta.info/nyct/service/,2442.1549084
26,"LINESTRING (-73.88369700129894 40.74765866727264, -73.87661300048862 40.748407666521686)",779,2000182,7,7,http://web.mta.info/nyct/service/,1981.72050561
27,"LINESTRING (-73.86952700168771 40.74914466630148, -73.86270000135904 40.74986466737157)",780,2000184,7,7,http://web.mta.info/nyct/service/,1909.69282751
28,"LINESTRING (-73.83030100155793 40.660475666859135, -73.83405800031842 40.668233667609115)",781,2000263,A,A,http://web.mta.info/nyct/service/,3012.51650161
29,"LINESTRING (-73.82579799993185 40.685950667395254, -73.82837400077669 40.685665666381986, -73.82844200042545 40.68565766674399, -73.82850800105348 40.68564866721614, -73.82857300108353 40.68563866658765, -73.82863700148864 40.68562866623487, -73.82869900049998 40.68561766689709, -73.82875900028533 40.685606666351894, -73.82881900163396 40.68559366663351, -73.8288770002033 40.685580666607045, -73.82893300190688 40.68556766718493, -73.82898900023956 40.68555366725786, -73.82904300190553 40.68553866746664, -73.82909500099122 40.68552266690475, -73.82914600163355 40.68550666573745, -73.82919600047201 40.685489667090465, -73.82924400008343 40.68547266725616, -73.83216299929477 40.68433066592236)",782,2000260,A,A,http://web.mta.info/nyct/service/,1884.43975127
30,"LINESTRING (-73.84433000195284 40.695177667402454, -73.84232800115853 40.69520266619523, -73.84222200067065 40.695205666421195, -73.84211200117862 40.695209666937764, -73.84199999980606 40.69521566644372, -73.84188500153425 40.69522166622605, -73.84176700161348 40.69522966721155, -73.84164700098887 40.69523766622381, -73.84152399988228 40.69524766642429, -73.84139800067484 40.69525766686435, -73.84126900097209 40.69526966667218, -73.84113800052631 40.6952826658459, -73.84100400075897 40.69529666660133, -73.84086800023387 40.695311666706566, -73.84072800062508 40.69532766699119, -73.84058700117653 40.6953446661918, -73.8404420002588 40.69536266644702, -73.84027500099306 40.69538766720578, -73.84011000094978 40.695417665651554, -73.83994800108616 40.69545066674522, -73.83978800038354 40.69548866734667, -73.839631002193 40.69552966611902, -73.83947700053207 40.6955746671394, -73.83932500150556 40.695624666801876, -73.839176001378 40.69567766646459, -73.8390290002811 40.69573566748415, -73.83888500160134 40.695796666728384, -73.83874300196156 40.695861666875835, -73.8386040010505 40.69593166620486, -73.83846800132147 40.69600466648888, -73.83833400170795 40.69608266637407, -73.83820299975999 40.69616266765735, -73.83634500148106 40.697417667012594)",783,2000381,J,J-Z,http://web.mta.info/nyct/service/,2464.47585658
31,"LINESTRING (-73.84168700038005 40.68084266703363, -73.8438529999203 40.68042866640026)",784,2000257,A,A,http://web.mta.info/nyct/service/,619.409801498
32,"LINESTRING (-73.8671390000417 40.69132366614284, -73.86647700067793 40.69142666711035, -73.86642100078299 40.69143466712786, -73.86636500005426 40.69144366668778, -73.86630999982225 40.691451666911604, -73.86625500112298 40.69146066578102, -73.86620200060585 40.69146966604686, -73.86614800002205 40.691477667355436, -73.86609600035307 40.691486666935525, -73.8660440014951 40.69149466692235, -73.86599300030711 40.691503666717594, -73.8659430011631 40.69151266675703, -73.86589300046862 40.69152066630169, -73.86584400099017 40.69152966656252, -73.86579500031544 40.69153866680106, -73.86574700015092 40.691546666814226, -73.86570000120295 40.691555666645954, -73.86281900118148 40.69204166640026, -73.86276299975815 40.69205166737975, -73.8627060006802 40.6920606666707, -73.86265000040704 40.692070667596646, -73.86259399981459 40.69207966712325, -73.8625370009916 40.69208966770248, -73.86248100155098 40.692098667175536, -73.86242400120989 40.692107667225855, -73.8623680014379 40.69211566617235, -73.86231099988206 40.692124667065734, -73.86225400068071 40.692133666132726, -73.86219800204589 40.69214166679892, -73.86214100014732 40.69214966713658, -73.86208400060119 40.69215766744882, -73.8620270010451 40.69216566593184, -73.86197000147168 40.69217366618759, -73.86001000070074 40.69243466665411)",785,2000378,J,J-Z,http://web.mta.info/nyct/service/,2018.41058722
33,"LINESTRING (-73.89168800061054 40.6780236665617, -73.88997699942759 40.678280666649506, -73.88995300072068 40.67828366762898, -73.88993000103949 40.678287667329975, -73.88990500047184 40.67829066644052, -73.88988000014487 40.67829566739121, -73.889855001 40.67830066653655, -73.88982900117192 40.678305667419856, -73.88980200019452 40.67831166781086, -73.88977599989194 40.67831766645265, -73.88974800012414 40.67832466634661, -73.88971999916618 40.67833166713315, -73.88969200009898 40.67833966658606, -73.88966300034495 40.678347667774105, -73.88963400058695 40.67835566715378, -73.88960400085415 40.67836466693967, -73.88957400182383 40.6783746662903, -73.88463900037254 40.679946665959015)",802,2000373,J,J-Z,http://web.mta.info/nyct/service/,2084.73444452
34,"LINESTRING (-73.86505000063586 40.67704366645564, -73.86574200080909 40.67655766710889, -73.86579500010889 40.67652166598562, -73.86585000099922 40.676486667644625, -73.86590500018139 40.67645366661928, -73.86596100031211 40.67642166630623, -73.86601800056707 40.67639166627551, -73.86607600177639 40.676362666053656, -73.86613400210807 40.67633466717508, -73.86619400085749 40.676308667034796, -73.86625399992118 40.67628366643615, -73.86631600095154 40.67626066727735, -73.86637800112106 40.67623866675617, -73.86644100107397 40.67621766693465, -73.86650499999406 40.67619866738279, -73.86657000107444 40.67618066582855, -73.86663600030859 40.67616566681375, -73.87210600163398 40.675376665949756)",803,2000253,A,A,http://web.mta.info/nyct/service/,2094.00302617
