,License Number,Agent Number,Hackup Payment Amount,Operational Payment Amount,Total Payment Amount,Payment Date,Last Date Updated,Last Time Updated
64,8N68,A0253,$0.00,"$1,000.00","$1,000.00",02/16/2021,01/23/2024,18:00:09
65,6L19,A0202,"$14,000.00","$2,666.66","$16,666.66",10/04/2017,01/23/2024,18:00:09
66,9K74,A0307,$0.00,"$1,000.00","$1,000.00",08/17/2021,01/23/2024,18:00:09
67,8J26,,$0.00,"$1,333.33","$1,333.33",04/28/2017,01/23/2024,18:00:09
68,5K92,A0307,$0.00,"$1,333.33","$1,333.33",12/31/2018,01/23/2024,18:00:09
69,2B16,,$0.00,"$1,000.00","$1,000.00",07/30/2019,01/23/2024,18:00:09
70,8T65,,$0.00,"$5,000.00","$5,000.00",02/07/2020,01/23/2024,18:00:09
71,5E18,A0102,$0.00,"$1,000.00","$1,000.00",11/14/2019,01/23/2024,18:00:09
72,9K60,A0253,$0.00,"$1,333.33","$1,333.33",05/31/2018,01/23/2024,18:00:09
73,6M78,A0356,$0.00,"$1,000.00","$1,000.00",06/24/2022,01/23/2024,18:00:09
74,8N77,A0312,$0.00,"$1,000.00","$1,000.00",07/23/2020,01/23/2024,18:00:09
75,7B74,A0307,"$14,000.00",$0.00,"$14,000.00",05/31/2019,01/23/2024,18:00:09
76,2C22,A0290,$0.00,"$4,000.00","$4,000.00",02/16/2021,01/23/2024,18:00:09
77,3R57,,$0.00,"$1,000.00","$1,000.00",02/21/2022,01/23/2024,18:00:09
78,5G63,,$0.00,"$1,000.00","$1,000.00",09/07/2022,01/23/2024,18:00:09
79,6G12,A0202,"$14,000.00","$1,333.33","$15,333.33",12/31/2018,01/23/2024,18:00:09
80,9B23,,$0.00,"$1,000.00","$1,000.00",05/21/2021,01/23/2024,18:00:09
81,5N27,,$0.00,"$1,000.00","$1,000.00",02/15/2023,01/23/2024,18:00:09
82,6J91,A0259,$0.00,"$1,333.33","$1,333.33",04/02/2018,01/23/2024,18:00:09
83,1Y75,,$0.00,"$1,000.00","$1,000.00",09/07/2022,01/23/2024,18:00:09
84,2G82,,$0.00,"$1,000.00","$1,000.00",11/14/2019,01/23/2024,18:00:09
85,3J92,A0017,$0.00,"$3,000.00","$3,000.00",08/17/2021,01/23/2024,18:00:09
86,2K71,A0213,$0.00,"$1,000.00","$1,000.00",11/14/2019,01/23/2024,18:00:09
87,3A81,,$0.00,"$1,000.00","$1,000.00",11/23/2022,01/23/2024,18:00:09
88,9C20,,$0.00,"$1,333.33","$1,333.33",05/31/2018,01/23/2024,18:00:09
89,3D19,,$0.00,"$1,333.33","$1,333.33",07/07/2017,01/23/2024,18:00:09
90,6J62,A0356,$0.00,"$1,000.00","$1,000.00",05/21/2021,01/23/2024,18:00:09
91,4D30,,$0.00,"$1,000.00","$1,000.00",11/23/2022,01/23/2024,18:00:09
92,4B74,,$0.00,"$1,000.00","$1,000.00",08/17/2021,01/23/2024,18:00:09
93,7B53,,$0.00,"$1,333.33","$1,333.33",04/28/2017,01/23/2024,18:00:09
94,2G39,,$0.00,"$1,000.00","$1,000.00",09/07/2022,01/23/2024,18:00:09
95,1J10,A0201,$0.00,"$1,000.00","$1,000.00",06/24/2022,01/23/2024,18:00:09
96,3F87,,$0.00,"$1,000.00","$1,000.00",02/15/2023,01/23/2024,18:00:09
97,4M40,A0307,$0.00,"$4,000.00","$4,000.00",11/10/2021,01/23/2024,18:00:09
98,9L60,A0358,$0.00,"$1,000.00","$1,000.00",06/24/2022,01/23/2024,18:00:09
99,9B46,A0201,$0.00,"$1,000.00","$1,000.00",04/30/2020,01/23/2024,18:00:09
