,From Date,To Date,Remote Station ID,Station,Full Fare,Senior Citizen/Disabled,7 Day ADA Farecard Access System Unlimited,30 Day ADA Farecard Access/Reduced Fare Media Unlimited,Joint Rail Road Ticket,7 Day Unlimited,30 Day Unlimited,14 Day Reduced Fare Media Unlimited,1 Day Unlimited,14 Day Unlimited,7 Day Express Bus Pass,TransitCheck,Long Island Bus Special Senior,Reduced Fare 2-Trip,Rail Road Unlimited No Trade,TransitCheck Annual,Mail and Ride EasyPay Express,Mail and Ride EasyPay Unlimited,PATH 2-Trip,AirTrain Full Fare,AirTrain 30 Day Unlimited,AirTrain 10-Trip,AirTrain Monthly,Student,NICE 2-Trip,CUNY 120 Day,CUNY 60 Day,Fair Fares Pay-Per-Ride,Fair Fares 7 Day Unlimited,Fair Fares 30 Day Unlimited
29,07/31/2021,08/06/2021,R032,42ND STREET/TIMES SQUARE,35796,2570,204,406,4,14180,13972,0,0,0,64,493,0,0,15,946,782,380,0,724,0,0,0,203,0,0,0,1055,428,533
30,07/31/2021,08/06/2021,R033,42ND STREET/TIMES SQUARE,54135,3099,357,578,5,20638,11292,0,0,0,318,301,0,0,7,833,700,305,0,1085,0,0,0,486,0,0,0,1663,667,480
31,07/31/2021,08/06/2021,R034,125TH STREET & BROADWAY,7917,972,66,136,5,3600,2891,0,0,0,20,31,0,0,1,170,200,88,0,62,0,0,0,171,0,0,0,517,226,182
32,07/31/2021,08/06/2021,R035,168TH STREET & BROADWAY,24898,2943,234,356,2,11248,11295,0,0,0,43,133,0,3,18,1188,423,389,0,220,0,0,0,487,0,0,0,1644,632,585
33,07/31/2021,08/06/2021,R036,DYCKMAN STREET,7429,1352,87,188,0,4690,2596,0,0,0,7,19,0,2,0,240,43,66,0,63,0,0,0,404,0,0,0,719,400,232
34,07/31/2021,08/06/2021,R037,207TH STREET,4817,715,105,101,1,4814,2348,0,0,0,1,13,0,0,5,214,49,42,0,30,0,0,0,246,0,0,0,525,337,280
35,07/31/2021,08/06/2021,R038,215TH STREET,1760,251,28,25,0,638,572,0,0,0,3,19,0,0,1,73,35,28,0,10,0,0,0,24,0,0,0,113,28,54
36,07/31/2021,08/06/2021,R039,225TH STREET,5384,597,48,96,4,3030,1785,0,0,0,4,14,0,0,0,131,64,51,0,40,0,0,0,119,0,0,0,561,206,186
37,07/31/2021,08/06/2021,R040,231ST STREET,8677,1563,130,297,0,5058,3724,0,0,0,26,16,0,2,0,336,116,52,0,50,0,0,0,142,0,0,0,705,340,289
38,07/31/2021,08/06/2021,R041,BOWLING GREEN & BATTERY PL,16264,1319,135,188,7,6127,4224,0,0,0,419,159,0,2,32,431,338,158,0,293,0,0,0,233,0,0,0,537,186,155
