,Week,Day Type,Borough,Route,Direction,Hour,Load Percentage,Trips with APC
78,04/03/2023,Weekday,Bronx,BXM11,NB,13,0.22,2
79,04/03/2023,Weekday,Bronx,BXM11,NB,14,0.24,4
80,04/03/2023,Weekday,Bronx,BXM11,NB,15,0.36,10
81,04/03/2023,Weekday,Bronx,BXM11,NB,16,0.41,11
82,04/03/2023,Weekday,Bronx,BXM11,NB,17,0.29,9
83,04/03/2023,Weekday,Bronx,BXM11,NB,18,0.14,2
84,04/03/2023,Weekday,Bronx,BXM11,NB,19,0.38,10
85,04/03/2023,Weekday,Bronx,BXM11,NB,20,0.31,1
86,04/03/2023,Weekday,Bronx,BXM11,NB,21,0.29,5
87,04/03/2023,Weekday,Bronx,BXM11,NB,22,0.31,3
88,04/03/2023,Weekday,Bronx,BXM11,NB,23,0.39,4
89,04/03/2023,Weekday,Bronx,BXM11,SB,5,0.35,9
90,04/03/2023,Weekday,Bronx,BXM11,SB,6,0.43,12
91,04/03/2023,Weekday,Bronx,BXM11,SB,7,0.23,17
92,04/03/2023,Weekday,Bronx,BXM11,SB,8,0.18,14
93,04/03/2023,Weekday,Bronx,BXM11,SB,9,0.04,1
94,04/03/2023,Weekday,Bronx,BXM11,SB,11,0.2,5
95,04/03/2023,Weekday,Bronx,BXM11,SB,12,0.33,1
96,04/03/2023,Weekday,Bronx,BXM11,SB,13,0.27,4
97,04/03/2023,Weekday,Bronx,BXM11,SB,15,0.15,1
98,04/03/2023,Weekday,Bronx,BXM11,SB,17,0.09,6
99,04/03/2023,Weekday,Bronx,BXM11,SB,18,0.05,7
