,Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column
83,Plainville High School,47 Robert Holcomb Way,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.8580302 41.6659341)
84,Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.504917 41.067306)
85,Whole Foods Market,350 Grasmere Ave,Fairfield,8am-10pm daily; for customer use only; see inside for access,NONE,1,NONE,NONE,POINT (-73.240315 41.157925)
86,Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwich,24 hours daily; for member use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.709755 41.094294)
87,Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee,NONE,2,NONE,NONE,POINT (-72.608573 41.27077)
88,Newington Electric,72 Pane Rd,Newington,24 hours daily,NONE,3,NONE,NONE,POINT (-72.729203 41.65514)
89,Premier Kia,205 N Main St,Branford,24 hours daily; priority for customer use,NONE,1,NONE,NONE,POINT (-72.809324 41.289894)
90,The Shoppes at Fox Run 1,25 Welles St # 55,Glastonbury,24 hours daily,NONE,NONE,2,NONE,POINT (-72.608292 41.714088)
91,NBCSG,98 Maher Rd,Stamford,24 hours daily,NONE,14,NONE,NONE,POINT (-73.516045 41.054321)
92,EDENS BISHOPS,345 N Main St,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7479436 41.784487)
93,Propark - Water Street Garage,161 Water St,New London,Restricted to garage hours; pay lot,8,4,NONE,1 Conductive 120V,POINT (-72.093784 41.355486)
94,Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,24 hours daily; for Tesla use only,NONE,NONE,14,NONE,POINT (-73.036133 41.238119)
95,Manchester Honda,24 Adams St,Manchester,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.552974 41.795898)
96,New London Mall - Tesla Supercharger,369 N Frontage Rd,New London,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.119376 41.370726)
97,Plainville Municipal Center,1 Central Square,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.8670212999999 41.6717114)
98,The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access,NONE,2,NONE,NONE,POINT (-72.932698 41.308741)
99,Connecticut Science Center,250 Columbus Blvd,Hartford,6am-6pm daily,NONE,2,NONE,NONE,POINT (-72.668833 41.764376)
