,kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
60,C108,A718965,40214,STRAY,FIELD,2022/07/04 00:00:00,STRAY,EUTH,MEDICAL,2022/09/12 00:00:00,CAT,M,N,MED,ORANGE / WHITE,DOMESTIC MH,40214,61
61,N30,A678110,40210,STRAY,OTC,2020/03/06 00:00:00,STRAY,ADOPTION,INTERNET,2020/03/14 00:00:00,DOG,N,N,SMALL,TRICOLOR,BEAGLE,40210,62
62,TNR/SNR,A686068,40291,STRAY,OTC,2020/11/01 00:00:00,STRAY,SNR,,2020/11/05 00:00:00,CAT,N,N,SMALL,BRN TABBY,DOMESTIC SH,40291,63
63,TNR/SNR,A693235,40216,STRAY,OTC,2021/06/03 00:00:00,STRAY,SNR,,2021/06/09 00:00:00,CAT,N,N,MED,WHITE / BRN TABBY,DOMESTIC MH,40216-0000,64
64,FOSTER,A743713,40208,STRAY,FIELD,2023/08/21 00:00:00,STRAY,FOSTER,VACATION,2023/09/05 00:00:00,DOG,N,N,MED,BLACK,SHIH TZU / MIX,40213,65
65,K101B,A661053,40216,STRAY,FIELD,2021/07/15 00:00:00,STRAY,RTO,IN FIELD,2021/07/24 00:00:00,DOG,N,N,SMALL,BR BRINDLE,WELSH CORGI PEM / MIX,40216,66
66,K205,A712967,40216,CONFISCATE,POLICE,2022/03/23 00:00:00,STRAY,RTO,IN KENNEL,2022/03/24 00:00:00,DOG,M,N,PUPPY,BLACK / TAN,YORKSHIRE TERR,40216,67
67,FOSTER,A679217,40229,FOSTER,RETURN,2020/04/24 00:00:00,FOSTER RET,FOSTER,,2020/04/24 00:00:00,DOG,N,Y,MED,BR BRINDLE,PLOTT HOUND,40207,68
68,FOSTER,A679217,40207,FOSTER,RETURN,2020/05/07 00:00:00,FOSTER RET,ADOPTION,FOSTER,2020/05/07 00:00:00,DOG,N,Y,MED,BR BRINDLE,PLOTT HOUND,40207,69
69,608,A679217,40207,OWNER SUR,EUTH REQ,2020/08/13 00:00:00,AGG PEOPLE,EUTH,REQUESTED,2020/08/22 00:00:00,DOG,N,Y,MED,BR BRINDLE,PLOTT HOUND,40207,70
70,C104,A686430,40215,RETURN,ADOPTION,2020/11/28 00:00:00,PETMEDICAL,TRANSFER,RESCUE GRP,2020/12/09 00:00:00,CAT,S,N,SMALL,GRAY TABBY,DOMESTIC SH,40243,71
71,N11,A748726,40210,STRAY,OTC,2023/11/15 00:00:00,STRAY,ADOPTION,WALK IN,2023/12/09 00:00:00,DOG,N,N,MED,BROWN,LABRADOR RETR / MIX,40210,72
72,FOSTER,A730938,40272,STRAY,OTC,2023/01/24 00:00:00,STRAY,FOSTER,TOO YOUNG,2023/01/26 00:00:00,CAT,S,N,KITTN,GRAY,DOMESTIC SH,40272,73
73,C213,A730936,40272,STRAY,OTC,2023/01/24 00:00:00,STRAY,FOSTER,TOO YOUNG,2023/01/26 00:00:00,CAT,S,N,KITTN,GRAY,DOMESTIC SH,40272,74
74,TNR/SNR,A742036,40216,STRAY,OTC,2023/07/19 00:00:00,STRAY,RTF,,2023/07/21 00:00:00,CAT,S,N,LARGE,WHITE / BLACK,DOMESTIC SH,40216,75
75,NECROPSY,A745867,40216,STRAY,OTC,2023/09/26 00:00:00,STRAY,DIED,IN KENNEL,2023/09/29 00:00:00,CAT,N,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40216,76
76,FREEZER,A709119,OUT OF COUNTY,OWNER SUR,RETURN 30,2023/08/07 00:00:00,EUTH BEHAV,EUTH,REQUESTED,2023/08/07 00:00:00,DOG,N,N,PUPPY,WHITE / BLACK,PIT BULL,40215,77
77,INTAKE,A704950,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,F,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40216,78
78,INTAKE,A704952,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC MH,40216,79
79,FOSTER,A724562,40218,FOSTER,RETURN,2022/10/03 00:00:00,FOSTER RET,ADOPTION,FOSTER,2022/10/03 00:00:00,BIRD,U,N,SMALL,BROWN,CHICKEN,40216,80
80,NP,A727268,40216,FOSTER,RETURN,2023/03/10 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023/03/10 00:00:00,RABBIT,F,N,MED,TRICOLOR / MUTED,REX-MINI,40216,81
81,INTAKE,A704954,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,S,N,MED,CALICO / MUTED,DOMESTIC SH,40216,82
82,TNR/SNR,A745787,40216,STRAY,OTC,2023/09/25 00:00:00,STRAY,SNR,,2023/09/27 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC MH,40216,83
83,INTAKE,A704958,40216,STRAY,OTC,2021/12/01 00:00:00,STRAY,TNR,CARETAKER,2021/12/03 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC MH,40216,84
84,FOSTER,A733459,40219,FOSTER,RETURN,2023/03/22 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2023/03/29 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,40216,85
