,month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
71,2020-01,Bronx,1,LCL/LTD,BX29,Peak,13657802.4,926325,14.74
72,2020-01,Bronx,2,LCL/LTD,BX29,Off-Peak,10632402.0,692431,15.36
73,2020-01,Bronx,2,LCL/LTD,BX29,Peak,3713014.8,248976,14.91
74,2020-01,Bronx,1,LCL/LTD,BX3,Off-Peak,52572668.4,7003327,7.51
75,2020-01,Bronx,1,LCL/LTD,BX3,Peak,21677544.0,3387474,6.4
76,2020-01,Bronx,2,LCL/LTD,BX3,Off-Peak,18935859.6,2439125,7.76
77,2020-01,Bronx,2,LCL/LTD,BX3,Peak,7985559.6,1052907,7.58
78,2020-01,Bronx,1,LCL/LTD,BX30,Off-Peak,49104475.2,6590352,7.45
79,2020-01,Bronx,1,LCL/LTD,BX30,Peak,23391399.6,3350549,6.98
80,2020-01,Bronx,2,LCL/LTD,BX30,Off-Peak,12328992.0,1565248,7.88
81,2020-01,Bronx,2,LCL/LTD,BX30,Peak,5848689.6,741119,7.89
82,2020-01,Bronx,1,LCL/LTD,BX31,Off-Peak,54672318.0,6844663,7.99
83,2020-01,Bronx,1,LCL/LTD,BX31,Peak,24559430.4,3453588,7.11
84,2020-01,Bronx,2,LCL/LTD,BX31,Off-Peak,13757670.0,1549691,8.88
85,2020-01,Bronx,2,LCL/LTD,BX31,Peak,5014130.4,580677,8.63
86,2020-01,Bronx,2,LCL/LTD,BX31,Peak,5014130.4,580677,8.63
87,2020-01,Bronx,1,LCL/LTD,BX32,Off-Peak,31523954.4,5464724,5.77
88,2020-01,Bronx,1,LCL/LTD,BX32,Peak,17701056.0,3359410,5.27
89,2020-01,Bronx,2,LCL/LTD,BX32,Off-Peak,6514639.2,956480,6.81
90,2020-01,Bronx,2,LCL/LTD,BX32,Peak,2786605.2,407071,6.85
91,2020-01,Bronx,1,LCL/LTD,BX33,Off-Peak,13392194.4,1873714,7.15
92,2020-01,Bronx,1,LCL/LTD,BX33,Peak,6260583.6,1106239,5.66
93,2020-01,Bronx,1,LCL/LTD,BX33,Peak,6260583.6,1106239,5.66
94,2020-01,Bronx,2,LCL/LTD,BX33,Off-Peak,2812914.0,358825,7.84
95,2020-01,Bronx,2,LCL/LTD,BX33,Peak,1353844.8,173409,7.81
96,2020-01,Bronx,1,LCL/LTD,BX34,Off-Peak,22115512.8,2850283,7.76
97,2020-01,Bronx,1,LCL/LTD,BX34,Peak,6380910.0,980838,6.51
98,2020-01,Bronx,2,LCL/LTD,BX34,Off-Peak,6744733.2,775355,8.7
99,2020-01,Bronx,2,LCL/LTD,BX34,Peak,2918955.6,341611,8.54
