,Region,County,Municipality,BIN,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Date of Last Inspection,Poor Status
42,1,Albany,Albany (City),1073530,RAMP SE OVER I90,87I  SB TO 90I E,90I 90I11011000,NYSDOT,1989,10/07/2019,N
43,1,Albany,Albany (City),1073560,.1 MI N OF EXIT 24 OF I90,87I X SB RAMP,90IX,NYS Thruway Authority,1986,09/19/2019,N
44,1,Albany,Albany (City),5513561,INT 23 ON I87,87IX,87IX INT 23 RAMP,NYS Thruway Authority,1954,04/17/2019,N
45,1,Albany,Albany (City),5513570,WATER TUNNEL,87IX,CITY WATER TUNNEL,City,1954,07/17/2019,N
46,1,Albany,Albany (City),5513599,3 MI SE EXIT 24 ON I87,87IX,KRUMKILL RD,NYS Thruway Authority,1952,08/07/2018,N
47,1,Albany,Albany (City),5513549,.56 MI SE EXIT 23 OF I87,87IX,NORMANS KILL,NYS Thruway Authority,1954,12/12/2018,N
48,1,Albany,Albany (City),5513550,NB EXIT 23 RAMP OF I87,87IX NB OFF RAMP,NOONAN LANE,NYS Thruway Authority,1997,11/05/2019,N
49,1,Albany,Albany (City),5513562,INT 23 ON I87,87IX SB,INT 23 RAMP,NYS Thruway Authority,1954,04/17/2019,N
50,1,Albany,Albany (City),1078662,Jct I90 & Everett Rd,90I 90I11011034,CSX/AMTRAK,NYSDOT,2006,12/21/2018,N
51,1,Albany,Albany (City),1078661,Jct I90 & Everett Rd.,90I 90I11011034,CSX/Amtrak,NYSDOT,2006,12/21/2018,N
52,1,Albany,Albany (City),1092421,JCT I90 & I787,90I EB TO 787I N,787I787I11011038,NYSDOT,1968,11/19/2018,N
53,1,Albany,Albany (City),1092491,RAMP I90 EB OFF TO 9 NB,90I EB TO 9NB,90I 90I11013010,NYSDOT,1972,08/07/2019,N
54,1,Albany,Albany (City),1092422,JCT I90 & I787,90I WB TO 787I S,787I787I11011038,NYSDOT,1968,11/20/2018,N
55,1,Albany,Albany (City),1092492,RAMP I90 WB OFF TO 9 SB,90I WB TO 9SB,90I 90I11013010,NYSDOT,1972,08/07/2019,N
56,1,Albany,Albany (City),1050049,I87 RAMP TO I90,910D910D11011023,90IX,NYSDOT,1969,09/19/2018,N
57,1,Albany,Albany (City),1093209,JCT RTS 910D & 910F,910D910D11011023,910F910F11011005,NYSDOT,1968,09/13/2018,N
58,1,Albany,Albany (City),1073521,JCT I87 OVER I90,910F910F11011007,FR I87 S TO I90 E,NYSDOT,1985,05/02/2019,N
