,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
37,2,01/01/2018 12:30:52 AM,01/01/2018 12:38:43 AM,N,1,181,190,5,1.28,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
38,2,01/01/2018 12:39:21 AM,01/01/2018 12:48:02 AM,N,1,190,89,5,1.58,8.0,0.5,0.5,1.86,0,,0.3,11.16,1,1
39,2,01/01/2018 12:59:08 AM,01/01/2018 01:25:30 AM,N,1,188,76,5,4.43,18.5,0.5,0.5,0.0,0,,0.3,19.8,1,1
40,1,01/01/2018 12:07:47 AM,01/01/2018 12:19:59 AM,N,1,33,112,1,4.8,15.5,0.5,0.5,3.35,0,,0.3,20.15,1,1
41,2,01/01/2018 12:27:35 AM,01/01/2018 12:34:55 AM,N,1,112,80,1,1.59,8.0,0.5,0.5,1.86,0,,0.3,11.16,1,1
42,2,01/01/2018 12:46:21 AM,01/01/2018 01:08:36 AM,N,1,112,61,1,4.8,19.0,0.5,0.5,5.08,0,,0.3,25.38,1,1
43,2,01/01/2018 12:44:53 AM,01/01/2018 12:50:17 AM,N,1,97,49,1,0.51,4.5,0.5,0.5,0.0,0,,0.3,5.8,2,1
44,2,01/01/2018 12:50:23 AM,01/01/2018 01:18:08 AM,N,1,49,97,1,0.54,16.0,0.5,0.5,0.0,0,,0.3,17.3,2,1
45,2,01/01/2018 12:33:34 AM,01/01/2018 12:40:00 AM,N,1,75,74,1,1.64,7.0,0.5,0.5,0.0,0,,0.3,8.3,2,1
46,2,01/01/2018 12:47:29 AM,01/01/2018 12:56:32 AM,N,1,82,129,1,1.31,8.0,0.5,0.5,0.0,0,,0.3,9.3,2,1
47,2,01/01/2018 12:21:14 AM,01/01/2018 12:33:15 AM,N,1,83,7,1,3.32,12.5,0.5,0.5,0.0,0,,0.3,13.8,2,1
48,2,01/01/2018 12:36:46 AM,01/01/2018 12:40:53 AM,N,1,7,7,1,0.82,5.0,0.5,0.5,0.0,0,,0.3,6.3,1,1
49,1,01/01/2018 12:06:43 AM,01/01/2018 12:20:45 AM,N,5,136,169,1,4.2,0.0,0.0,0.0,0.0,0,,0.0,0.0,2,2
