,Service Date,Train,Branch,Depart Station,Depart Time,Arrive Station,Arrive Time,Period,Status,Minutes Late
40,01/04/2010,511,Oyster Bay,Oyster Bay,01/04/2010 08:16:00 AM,Long Island City,01/04/2010 09:36:00 AM,AM Peak,Late,19.0
41,01/04/2010,57,Babylon,Babylon,01/04/2010 09:48:00 AM,NY Penn Station,01/04/2010 11:04:00 AM,Off-peak,Late,7.0
42,01/04/2010,610,Port Jefferson,Huntington,01/04/2010 11:51:00 AM,Port Jefferson,01/04/2010 12:37:00 PM,Off-peak,Late,10.0
43,01/04/2010,102,Babylon,NY Penn Station,01/04/2010 12:07:00 PM,Babylon,01/04/2010 01:21:00 PM,Off-peak,Late,9.0
44,01/04/2010,1453,Far Rockaway,Jamaica,01/04/2010 04:52:00 PM,Flatbush Avenue,01/04/2010 05:10:00 PM,Off-peak,Late,8.0
45,01/04/2010,16,Babylon,NY Penn Station,01/04/2010 07:11:00 AM,Babylon,01/04/2010 08:08:00 AM,Off-peak,Late,24.0
46,01/04/2010,2023,Ronkonkoma,Ronkonkoma,01/04/2010 07:19:00 AM,NY Penn Station,01/04/2010 08:28:00 AM,AM Peak,Late,7.0
47,01/04/2010,22,Babylon,NY Penn Station,01/04/2010 07:50:00 AM,Babylon,01/04/2010 08:47:00 AM,Off-peak,Late,12.0
48,01/04/2010,2704,Montauk,Babylon,01/04/2010 08:52:00 AM,Montauk,01/04/2010 10:53:00 AM,Off-peak,Late,12.0
49,01/04/2010,2707,Montauk,Montauk,01/04/2010 11:14:00 AM,Jamaica,01/04/2010 02:03:00 PM,Off-peak,Late,13.0
